1stFlrSF,GarageArea,GarageYrBlt,GrLivArea,KitchenQual,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
827,550,1996.0,1661,3,7,799,1996,1996,212000
1668,502,2003.0,1668,3,8,1657,2003,2003,232000
1493,508,1997.0,1493,3,6,1478,1997,1998,208900
932,306,1950.0,932,3,6,932,1950,1950,124000
1277,526,1970.0,1277,2,7,1277,1970,1970,167000
1530,630,2004.0,1530,3,7,1530,2004,2004,259000
1344,484,1970.0,1344,2,5,1024,1958,1983,144000
860,528,1996.0,860,2,5,840,1982,1982,137000
1314,626,2008.0,1314,3,7,1314,2007,2008,230000
1391,868,2006.0,1962,3,7,1391,2006,2006,239799
788,388,2004.0,1490,3,7,788,2004,2005,184000
848,420,2004.0,848,3,6,848,2004,2004,143000
672,240,1940.0,672,2,5,672,1940,1997,108000
1188,252,1941.0,2340,3,7,1152,1941,2006,266500
808,180,1916.0,1656,2,5,660,1916,1987,135000
725,484,1972.0,1479,3,7,725,1972,2004,184000
1226,740,2009.0,1226,3,7,1226,2009,2009,198900
976,444,1966.0,2087,3,6,832,1966,2007,187500
1158,576,2006.0,1158,3,6,1158,2004,2004,158000
1154,480,1966.0,1154,2,5,1154,1966,1966,154000
880,527,1998.0,1724,3,7,880,1998,1999,188000
773,431,1995.0,1658,2,6,773,1995,1996,188000
1126,520,2002.0,1126,3,4,0,1949,2003,108000
872,300,1955.0,1393,2,5,816,1955,1955,135500
1968,1014,1982.0,3447,3,8,728,1935,1997,381000
483,264,1973.0,987,2,6,483,1973,1973,83000
808,0,1980.0,1355,2,5,644,1940,1999,127500
2069,505,1960.0,2069,3,7,585,1960,2007,242000
757,440,1999.0,1501,2,7,744,1999,1999,179400
1976,908,2006.0,1976,3,8,1976,2006,2007,440000
1563,758,2007.0,1563,3,8,1563,2007,2007,245000
572,288,1982.0,1111,2,7,572,1926,1950,116900
851,270,1931.0,1502,2,7,776,1931,2000,149000
1733,452,1955.0,1733,2,3,0,1955,1955,139600
1848,706,2006.0,2728,4,9,1848,2005,2006,437154
630,264,1972.0,1302,2,5,630,1972,1972,119500
1332,586,1979.0,1524,3,7,1332,1979,1979,260000
1120,680,1991.0,1588,2,4,0,1959,1959,134432
1125,430,2007.0,1125,2,5,1125,2006,2007,155000
520,480,2005.0,1200,3,7,600,2005,2005,151000
798,520,2004.0,1640,3,6,798,2004,2004,173000
1223,525,1994.0,2127,3,7,1223,1994,1994,271000
972,240,1948.0,972,2,6,972,1948,2002,132000
1142,466,1995.0,2020,3,8,1128,1995,1995,239500
1144,596,1956.0,1144,2,5,1144,1956,1956,129000
1352,288,1958.0,1352,3,5,1062,1958,1958,130000
926,484,1974.0,1316,2,5,926,1929,2001,130000
1086,592,1998.0,1924,3,8,1086,1998,1998,280000
1164,240,1950.0,1164,2,5,1164,1950,1950,125000
952,840,1988.0,952,2,5,952,1951,1951,139000
938,0,1980.0,2358,2,8,684,1872,1987,122000
1680,540,1988.0,1680,3,6,880,1988,2007,222000
1221,672,2003.0,1912,2,6,482,1905,2000,163000
1004,480,1970.0,1004,2,6,1004,1970,1970,149000
774,305,1946.0,1230,2,4,747,1946,1950,121600
1167,495,1972.0,1167,2,5,915,1920,1950,144000
1301,440,1965.0,1301,1,5,1145,1924,1950,100000
1453,445,1986.0,1453,3,7,1453,1986,1986,190000
1601,670,2001.0,1601,3,8,1581,2001,2002,272000
1588,825,2006.0,1588,3,8,1588,2006,2006,227000
1095,264,1958.0,1095,2,6,588,1958,1958,140000
1050,368,1961.0,1050,2,5,1050,1961,1961,136500
960,432,1965.0,960,2,4,960,1965,1965,94750
1002,280,1954.0,1456,2,5,810,1948,1950,91500
1489,462,1968.0,1489,3,6,1489,1968,1968,185750
1726,786,2007.0,1726,4,7,1726,2007,2007,311872
1362,484,2003.0,2082,3,7,1362,2003,2003,200000
1339,484,1990.0,1339,2,7,1309,1990,1990,180000
1310,1069,1998.0,2450,3,8,1284,1998,1998,340000
879,660,2006.0,1863,3,7,879,2006,2006,219210
768,396,1988.0,768,2,5,768,1972,2007,133000
334,0,1980.0,334,1,1,0,1946,1950,39300
1136,384,1965.0,1136,2,6,1136,1965,1965,140000
1337,405,1998.0,1337,2,6,1237,1998,1998,153500
912,288,1964.0,912,2,5,912,1964,1964,115000
876,264,1962.0,1812,2,5,864,1962,1962,169500
1052,240,1939.0,2192,3,5,720,1939,1997,179500
658,0,1980.0,1184,2,5,658,1910,1996,81000
964,308,1960.0,1889,2,7,925,1910,1950,122000
1327,624,1974.0,1327,3,5,1063,1959,2002,150750
1422,576,1981.0,1422,3,6,1422,1981,1981,175500
1632,576,1967.0,1632,2,5,1632,1967,1967,143000
1630,451,2000.0,1630,3,7,1630,2000,2001,213000
1013,0,1980.0,1526,1,3,1013,1915,1982,85000
1040,420,1956.0,1040,2,4,0,1949,1950,90000
841,216,1920.0,1647,1,6,806,1915,1950,128000
1328,576,1981.0,1981,3,4,1122,1928,1950,135000
1644,418,1953.0,1644,2,6,1416,1953,1953,167000
1482,868,2007.0,2574,4,8,1482,2007,2007,276000
1060,520,1940.0,1824,2,6,764,1919,1950,180500
1350,520,1964.0,1350,2,6,1248,1964,1964,168500
958,440,1976.0,958,2,6,958,1976,1976,143750
1053,370,1922.0,1848,3,6,833,1923,2000,207000
1620,490,1993.0,1620,2,4,1281,1976,1993,150000
1167,400,1992.0,1167,3,6,1158,1992,1992,173000
798,220,1949.0,1487,2,6,735,1945,1950,113000
892,288,1967.0,892,2,5,892,1967,1967,100000
804,240,1940.0,804,3,5,788,1940,1992,119000
1140,0,1980.0,1140,2,5,1140,2006,2006,84500
983,483,1963.0,1796,2,6,780,1963,1963,140000
1118,551,1976.0,2030,3,6,848,1976,1976,195000
1026,812,2008.0,2007,4,10,1017,2008,2008,310000
691,216,1920.0,691,4,5,691,1920,1950,86000
786,676,2008.0,1590,3,8,768,2008,2008,210000
1216,325,1954.0,1855,2,6,994,1954,1972,136900
1028,442,1999.0,1804,3,7,994,1999,1999,189000
884,543,2003.0,1768,3,7,884,2003,2003,224900
1831,807,1995.0,3627,3,10,1930,1995,1996,625000
1298,403,1985.0,1298,3,6,1298,1985,1985,180000
1801,484,1959.0,1801,2,7,1501,1959,1997,289000
630,0,1980.0,630,4,5,630,1970,1970,92000
1103,440,1976.0,1103,3,6,1103,1925,1980,110500
859,384,1964.0,1178,2,4,859,1900,1950,102776
1196,440,1957.0,1196,2,4,1196,1916,1990,109900
1372,529,2008.0,1372,3,7,1372,2007,2008,250580
1431,296,1962.0,1431,2,6,1099,1962,1962,165000
1422,626,2004.0,1422,3,7,1422,2004,2004,179600
1079,501,1992.0,1953,3,6,1580,1992,1992,240000
1121,440,2003.0,1121,2,4,1121,2003,2004,140000
1143,852,2004.0,2473,3,8,1143,2004,2005,317000
1057,576,1977.0,1057,2,5,1057,1962,1962,132000
1110,602,1978.0,1110,3,5,1097,1978,1978,165500
1164,671,1999.0,2270,3,8,1152,1999,2007,290000
2018,746,2009.0,2018,4,9,2002,2008,2009,378500
672,440,1978.0,1386,2,6,672,1978,1978,158900
1082,1043,2005.0,1953,3,8,1082,2005,2006,252000
1337,462,1993.0,1337,3,8,1337,1993,1993,180000
997,648,2000.0,2285,3,8,969,2000,2000,248000
1718,826,2007.0,1718,3,8,1705,2007,2008,297000
1086,484,1966.0,1086,2,5,1024,1966,1966,159950
1555,660,2007.0,1555,3,7,1373,2007,2007,174000
1902,567,1959.0,1902,4,7,1902,1959,2002,335000
1298,693,1990.0,2514,2,7,1216,1990,1991,250000
1224,528,1979.0,1224,2,5,1086,1979,1979,153337
1054,460,1969.0,1054,2,6,1054,1969,1969,151000
1276,676,1998.0,2612,3,8,1225,1998,1999,336000
902,288,1967.0,902,2,5,876,1967,1967,125500
1153,484,1983.0,2353,4,7,845,1980,1980,260000
689,299,1977.0,1392,2,6,689,1977,1977,161750
1155,576,1987.0,1155,3,5,1109,1961,1995,148000
1136,240,1950.0,1904,2,5,1208,1950,1982,138000
950,208,1929.0,1158,2,6,862,1929,1950,120000
751,502,1920.0,1362,2,6,611,1920,1999,128000
1005,429,1999.0,2291,3,7,975,1999,1999,230000
649,250,1920.0,1317,2,4,649,1920,1950,40000
1734,928,2007.0,1734,4,8,1734,2007,2007,318000
1194,312,1959.0,1194,2,6,1194,1959,1959,148000
876,720,1949.0,1416,2,5,876,1915,1950,153900
1383,354,1954.0,1383,2,5,1383,1954,1954,165000
1001,871,1949.0,2002,2,5,1001,1949,1950,145000
1496,474,2007.0,1496,3,8,1496,2007,2007,225000
984,660,1977.0,1604,2,5,984,1941,1960,117000
764,504,1965.0,764,2,5,680,1925,2004,73000
977,476,1985.0,1732,3,6,741,1985,1985,178000
1494,840,2006.0,1494,3,7,1494,2006,2007,279500
986,180,1926.0,986,2,6,960,1926,1950,102000
1145,397,2005.0,1145,3,7,1145,2005,2006,160200
742,0,1980.0,1484,2,6,742,1914,2001,128000
1344,525,1958.0,1344,3,6,819,1958,1958,137500
958,686,1983.0,1539,3,5,650,1904,2002,157500
1134,656,2005.0,2504,4,9,1122,2005,2007,325000
747,528,1953.0,747,2,4,600,1926,1953,79900
1108,583,1998.0,2097,3,7,1108,1998,1998,274300
3138,884,2007.0,4676,4,10,3138,2007,2008,184750
786,624,1999.0,1176,2,6,698,1937,2000,134900
720,0,1980.0,720,2,4,720,1920,1950,34900
1580,830,2008.0,1580,3,8,1580,2007,2008,235128
1440,0,1980.0,1440,2,4,1440,1977,1977,150000
738,540,2005.0,1476,3,6,738,2005,2005,173500
1500,570,2004.0,1500,3,7,1500,2004,2004,190000
884,216,1960.0,1348,2,5,884,1925,1997,117000
1200,884,1977.0,1200,3,5,864,1965,1998,146000
1394,514,1963.0,1394,2,6,1394,1963,1963,159000
800,484,1966.0,1632,3,6,800,1966,2000,173000
912,336,1974.0,912,2,5,912,1967,1967,125000
1370,864,1918.0,2624,2,6,1370,1918,1950,239000
1696,349,1962.0,1696,2,5,1140,1962,1962,143900
682,440,1966.0,1230,2,5,440,1910,1981,110000
1549,440,1932.0,2727,3,8,853,1932,1994,315000
728,429,2006.0,1456,2,6,728,2006,2006,172785
864,660,1989.0,864,3,4,864,1970,1970,120500
970,380,2004.0,1709,3,6,970,2004,2006,130000
810,528,2001.0,1665,3,8,810,2001,2001,227000
1372,656,1993.0,2646,3,7,1347,1993,1993,260000
798,595,2003.0,1640,3,7,798,2003,2003,183000
1014,420,1920.0,1699,2,3,978,1900,1970,95000
1663,529,1954.0,1663,3,4,1364,1954,1994,256000
1728,504,1963.0,1728,2,5,1728,1963,1963,125000
1055,462,1992.0,1845,3,6,1055,1992,1992,189000
1020,440,1964.0,1851,3,6,822,1964,1993,187000
1489,776,2006.0,1489,3,8,1489,2006,2006,232600
864,300,2008.0,864,2,6,864,1959,1959,127500
1256,276,1965.0,1256,2,5,1256,1965,1965,147500
816,816,1985.0,816,2,5,816,1982,2003,138000
902,492,1965.0,1820,3,7,864,1965,1988,201800
912,833,1991.0,2127,3,7,1104,1991,1991,238000
1065,461,1974.0,1065,2,5,1065,1960,1960,126500
1200,312,1923.0,1200,2,6,1200,1923,1950,125000
1208,632,2006.0,1208,3,7,1187,2006,2006,206000
1133,642,2005.0,2482,3,8,1094,2005,2006,281213
1720,527,1996.0,1720,3,7,1720,1996,1996,260400
840,0,1980.0,840,2,5,672,1930,1950,87000
1294,496,1991.0,1294,3,6,1278,1991,1991,179200
1090,450,2005.0,1090,2,5,1090,2005,2006,157000
1165,420,1998.0,2263,3,8,1141,1998,1998,258000
969,440,1975.0,969,2,5,969,1975,1975,122000
894,1248,1994.0,894,2,3,894,1935,1950,81000
1028,360,1927.0,1028,2,5,1008,1927,1950,115000
979,492,1946.0,1958,2,6,979,1946,1950,145000
1795,895,2007.0,1795,3,8,1795,2006,2007,147000
1940,606,2010.0,1940,4,9,1930,2009,2010,395192
1178,439,1973.0,1178,3,5,1176,1973,2000,157000
810,400,1934.0,1482,1,6,672,1925,1950,140000
1428,554,2008.0,1428,4,7,1417,2008,2008,227680
864,338,1972.0,864,2,5,864,1972,1972,133500
616,200,1941.0,1111,2,5,616,1941,1950,95000
680,420,1993.0,1470,2,6,680,1993,1993,185000
1116,440,1962.0,1116,2,6,1116,1962,1962,160000
864,288,1959.0,864,3,6,864,1959,1959,120000
1297,498,1954.0,1297,2,5,1297,1954,1990,153000
1113,264,1950.0,1113,3,5,1113,1950,2007,147000
1501,577,1999.0,1501,3,7,1490,1999,1999,204000
764,614,2009.0,1547,3,7,756,2009,2009,215200
991,678,2004.0,1947,3,7,991,2004,2005,254900
1717,908,2006.0,1717,3,8,1709,2006,2006,255500
1052,440,1971.0,1052,2,6,1010,1971,1971,155000
1127,455,1997.0,2013,2,7,1117,1996,1997,269790
1266,388,2007.0,1266,3,7,1266,2007,2007,159895
1992,716,2005.0,2868,4,9,1992,2005,2006,556581
980,554,2000.0,2256,3,7,952,2000,2000,236000
1414,494,2004.0,1414,3,7,1414,2004,2004,185500
936,471,1994.0,1721,3,6,928,1994,1994,201000
811,434,1975.0,1552,2,6,713,1975,1975,179900
698,528,1980.0,1128,2,4,698,1920,1950,68400
1118,358,1977.0,1118,2,6,1096,1977,1977,171000
1728,574,1976.0,1728,2,6,1728,1976,1976,150900
1686,711,1994.0,2448,3,8,1629,1994,2005,402000
1473,452,1968.0,1473,4,5,1437,1968,2003,143000
1187,400,1990.0,1717,3,7,1156,1990,1991,187500
1166,400,2005.0,1166,3,7,856,2005,2005,190000
1370,484,2006.0,1370,3,8,1370,2006,2006,202500
1724,480,1967.0,1724,2,6,1680,1967,1976,197900
970,380,2004.0,1709,3,7,970,2004,2004,130000
483,264,1971.0,987,2,6,483,1971,1971,89500
901,216,1920.0,1802,2,7,793,1920,1950,200100
1170,360,1932.0,2345,2,6,952,1932,1950,239000
1068,264,1963.0,1068,2,6,1059,1963,2003,154500
1617,533,1993.0,1617,3,6,1604,1993,1994,193000
1244,336,1957.0,1244,2,6,1244,1957,1957,150000
1180,252,1922.0,1180,1,4,700,1922,1950,137500
520,480,2005.0,1223,3,7,600,2005,2005,147400
1686,612,1980.0,1686,2,6,1686,1980,1980,207500
1646,800,2008.0,1646,3,8,1638,2007,2008,293077
1144,264,1961.0,1144,2,5,864,1961,1983,131400
939,639,2006.0,1797,3,7,939,2006,2006,213500
1224,462,1962.0,1224,2,4,0,1962,1962,101800
992,839,2000.0,1865,3,7,992,2000,2000,235000
1056,308,1958.0,1056,2,5,1056,1958,1992,139000
1966,820,2009.0,3140,4,9,1926,2008,2009,485000
1212,492,1978.0,1212,2,6,506,1977,1995,151000
1694,636,2004.0,1694,3,8,1686,2004,2005,307000
802,413,1997.0,1511,2,6,802,1997,1997,185000
1057,246,1953.0,1057,3,5,1057,1953,2007,109000
1246,560,1971.0,2290,2,4,777,1885,1950,122500
1377,786,1988.0,2183,3,7,1204,1988,1988,229000
1699,594,1990.0,3222,3,7,1673,1990,1990,320000
909,512,1996.0,1716,3,7,880,1996,1996,191000
1342,457,1967.0,1342,2,6,1372,1967,1967,161500
1504,437,2005.0,1504,3,7,1346,2005,2006,191000
1053,648,2003.0,1992,3,8,1053,2003,2004,250000
624,462,1999.0,1252,3,7,600,1999,2000,160000
999,264,1963.0,999,3,5,999,1962,2001,132500
741,528,1966.0,1363,2,4,622,1910,1950,125500
1165,490,1966.0,1165,2,6,1127,1966,1966,174900
1668,702,2002.0,1668,3,9,1626,2002,2002,285000
1158,853,2005.0,2376,3,8,1158,2005,2006,325300
889,352,1940.0,1440,2,5,540,1900,1950,79000
794,388,1997.0,1470,2,6,794,1997,1997,177000
1541,532,2005.0,1541,3,7,1541,2005,2005,220000
1440,0,1980.0,1440,1,4,1440,1955,1955,118000
1146,438,2003.0,1146,3,7,868,2003,2003,187500
1494,481,1995.0,1494,4,8,1494,1995,1996,270000
1462,738,2004.0,2224,4,9,1462,2004,2005,350000
820,186,1921.0,1343,2,5,731,1921,1950,154900
1210,683,1998.0,2452,3,8,1028,1998,1999,267000
1127,540,1964.0,1977,2,6,816,1964,1978,165000
1064,504,1987.0,1767,3,7,1064,1987,1987,239000
1324,550,2006.0,1324,3,8,1324,2006,2006,254000
912,330,1948.0,1458,2,6,912,1948,1950,97500
1314,440,2006.0,1314,3,6,1314,2006,2006,176432
1575,529,1992.0,1575,3,6,1575,1992,1992,179200
1620,912,2008.0,1620,4,9,1620,2007,2008,315500
1104,304,1957.0,1788,2,4,1104,1957,1989,161500
913,240,1990.0,913,2,6,814,1966,1966,129000
2073,500,1978.0,2073,2,6,1542,1978,1988,210000
764,492,1999.0,1441,3,8,776,1999,2000,174000
815,225,1916.0,1690,2,7,815,1916,1950,144000
1437,576,1999.0,1437,2,5,1188,1956,1987,168000
2156,508,1968.0,2156,2,7,1568,1968,2003,262500
864,0,1980.0,864,2,5,864,1925,1950,98000
536,336,1976.0,1112,2,5,536,1976,1976,85000
1122,746,1990.0,2243,3,7,700,1990,1991,225000
810,210,1940.0,1328,2,4,686,1925,1950,107000
968,216,1928.0,968,2,4,656,1927,2007,64500
698,384,2003.0,1396,2,6,698,1915,2003,153575
1856,834,2010.0,1856,4,9,1856,2010,2010,394432
1610,789,2007.0,2161,4,8,1582,2007,2007,325624
1602,529,1977.0,1602,3,6,1602,1977,2000,215000
630,280,1991.0,1302,2,5,630,1971,1971,112000
